tool,sample_id,identity_threshold,nthresh,ntriage,rejection_threshold,strategy,total_reads,correct,incorrect,unassigned,assignment_rate,precision,recall,accuracy,f1_score,barcode_count,barcode_length,threshold,tool_key,assigned,total_processed
QUIK,QUIK_42K_36nt_4mer_r9,,,,,,200000.0,190260.0,1318.0,8422.0,95.789,99.312,95.13,95.13,97.17602740148733,42000,36,9.0,quik,191578.0,
QUIK,QUIK_85K_28nt_4mer_r5,,,,,,200000.0,83011.0,71.0,116918.0,41.541,99.9145,41.5055,41.5055,58.64801696718993,85000,28,5.0,quik,83082.0,
QUIK,QUIK_85K_28nt_4mer_r6,,,,,,200000.0,107708.0,624.0,91668.0,54.166,99.424,53.854,53.854,69.86495251764767,85000,28,6.0,quik,108332.0,
QUIK,QUIK_85K_28nt_4mer_r7,,,,,,200000.0,124125.0,3979.0,71896.0,64.052,96.8939,62.0625,62.0625,75.66197609847731,85000,28,7.0,quik,128104.0,
QUIK,QUIK_85K_28nt_4mer_r8,,,,,,200000.0,133943.0,17307.0,48750.0,75.625,88.5574,66.9715,66.9715,76.26649341826503,85000,28,8.0,quik,151250.0,
QUIK,QUIK_85K_28nt_4mer_r9,,,,,,200000.0,136819.0,44504.0,18677.0,90.6615,75.456,68.4095,68.4095,71.76018200332949,85000,28,9.0,quik,181323.0,
QUIK,QUIK_85K_36nt_4mer_r5,,,,,,200000.0,113711.0,1.0,86288.0,56.856,99.9991,56.8555,56.8555,72.49387432756195,85000,36,5.0,quik,113712.0,
QUIK,QUIK_85K_36nt_4mer_r6,,,,,,200000.0,149809.0,5.0,50186.0,74.907,99.9967,74.9045,74.9045,85.65067381069997,85000,36,6.0,quik,149814.0,
QUIK,QUIK_85K_36nt_4mer_r7,,,,,,200000.0,173620.0,54.0,26326.0,86.837,99.9689,86.81,86.81,92.92591624642826,85000,36,7.0,quik,173674.0,
QUIK,QUIK_85K_36nt_4mer_r8,,,,,,200000.0,184825.0,464.0,14711.0,92.6445,99.7496,92.4125,92.4125,95.9409780596694,85000,36,8.0,quik,185289.0,
QUIK,QUIK_85K_36nt_4mer_r9,,,,,,200000.0,188339.0,2370.0,9291.0,95.3545,98.7573,94.1695,94.1695,96.40885104972455,85000,36,9.0,quik,190709.0,
Columba,Columba_21K_28nt_I77,,,,,,200000.0,111680.0,6927.0,81393.0,59.3035,94.1597,55.84,55.84,70.1051755170177,21000,28,77.0,columba,,200000.0
Columba,Columba_21K_28nt_I78,,,,,,200000.0,111685.0,6930.0,81385.0,59.3075,94.1576,55.8425,55.8425,70.10656363562424,21000,28,78.0,columba,,200000.0
Columba,Columba_21K_28nt_I79,,,,,,200000.0,80479.0,2008.0,117513.0,41.2435,97.5657,40.2395,40.2395,56.9789091434866,21000,28,79.0,columba,,200000.0
Columba,Columba_21K_28nt_I80,,,,,,200000.0,80493.0,2015.0,117492.0,41.254,97.5578,40.2465,40.2465,56.98457882228638,21000,28,80.0,columba,,200000.0
Columba,Columba_21K_28nt_I81,,,,,,200000.0,80487.0,2007.0,117506.0,41.247,97.5671,40.2435,40.2435,56.983157882630216,21000,28,81.0,columba,,200000.0
Columba,Columba_21K_28nt_I82,,,,,,200000.0,80460.0,2033.0,117507.0,41.2465,97.5355,40.23,40.23,56.96423509514355,21000,28,82.0,columba,,200000.0
Columba,Columba_21K_36nt_I77,,,,,,200000.0,113713.0,2424.0,83863.0,58.0685,97.9128,56.8565,56.8565,71.93906172865033,21000,36,77.0,columba,,200000.0
Columba,Columba_21K_36nt_I78,,,,,,200000.0,86629.0,1846.0,111525.0,44.2375,97.9135,43.3145,43.3145,60.059963969609434,21000,36,78.0,columba,,200000.0
Columba,Columba_21K_36nt_I79,,,,,,200000.0,86596.0,1852.0,111552.0,44.224,97.9061,43.298,43.298,60.042708643729185,21000,36,79.0,columba,,200000.0
Columba,Columba_21K_36nt_I80,,,,,,200000.0,86612.0,1847.0,111541.0,44.2295,97.912,43.306,43.306,60.051510034131624,21000,36,80.0,columba,,200000.0
Columba,Columba_21K_36nt_I81,,,,,,200000.0,63533.0,1524.0,134943.0,32.5285,97.6574,31.7665,31.7665,47.93911784608561,21000,36,81.0,columba,,200000.0
Columba,Columba_21K_36nt_I82,,,,,,200000.0,63504.0,1542.0,134954.0,32.523,97.6294,31.752,31.752,47.91923273051613,21000,36,82.0,columba,,200000.0
Columba,Columba_42K_28nt_I77,,,,,,200000.0,108921.0,13220.0,77859.0,61.0705,89.1764,54.4605,54.4605,67.62317109600667,42000,28,77.0,columba,,200000.0
Columba,Columba_42K_28nt_I78,,,,,,200000.0,108919.0,13202.0,77879.0,61.0605,89.1894,54.4595,54.4595,67.62613746850829,42000,28,78.0,columba,,200000.0
Columba,Columba_42K_28nt_I79,,,,,,200000.0,79002.0,3759.0,117239.0,41.3805,95.458,39.501,39.501,55.878992256907644,42000,28,79.0,columba,,200000.0
Columba,Columba_42K_28nt_I80,,,,,,200000.0,79010.0,3822.0,117168.0,41.416,95.3858,39.505,39.505,55.87061577216534,42000,28,80.0,columba,,200000.0
Columba,Columba_42K_28nt_I81,,,,,,200000.0,79007.0,3832.0,117161.0,41.4195,95.3742,39.5035,39.5035,55.867125695352165,42000,28,81.0,columba,,200000.0
Columba,Columba_42K_28nt_I82,,,,,,200000.0,78998.0,3820.0,117182.0,41.409,95.3875,39.499,39.499,55.864906606665606,42000,28,82.0,columba,,200000.0
Columba,Columba_42K_36nt_I77,,,,,,200000.0,111790.0,4860.0,83350.0,58.325,95.8337,55.895,55.895,70.60792930408024,42000,36,77.0,columba,,200000.0
Columba,Columba_42K_36nt_I78,,,,,,200000.0,85020.0,3796.0,111184.0,44.408,95.726,42.51,42.51,58.874855464567844,42000,36,78.0,columba,,200000.0
